Title     : Building a Second Unicorn:  A Deep Dive with Harness and AppDynamics Founder Jyoti Bansal
Video ID  : LMAxG-ddDkU
[46:34.24]  and then kind of things start to start
[46:36.00]  to happen
[46:38.00]  awesome well thank you so much everyone
[46:40.48]  for joining us and thank you so much
[46:42.32]  jyoti for your time
[46:43.92]  so it's a really amazing session so many
[46:46.24]  polls of wisdom
[46:47.92]  uh you you sometimes you make it sound
[46:50.00]  so easy you know
[46:51.04]  like five point framework for building a
[46:53.36]  company but
[46:54.56]  each of those five points are there's so
[46:57.12]  much thought
[46:58.08]  and learning behind it and i think
[47:00.16]  that's uh
[47:01.52]  the fact that um you are able to
[47:04.08]  simplify it and articulate it like that
[47:06.24]  for us it's super helpful
[47:08.16]  um i know a lot of this content will be
[47:10.00]  available on youtube
[47:11.52]  and you know we are all on twitter if
[47:14.00]  you guys wanna
[47:14.88]  ask us more questions like uh happy to
[47:17.84]  uh keep going
[47:19.04]  uh later but for now um this will be the
[47:21.76]  end of our session
[47:22.88]  so thank you everyone for joining us
[47:27.44]  thank you everyone thank you everyone
