Title     : MicroConf Remote 2020
[116:24.72]  big bigger competitors than you but
[116:26.56]  um it's not something that they're going
[116:27.92]  to come and attack and
[116:29.92]  you i asked you about mrr um you're in
[116:32.32]  your
[116:33.20]  five-figure mrr which for folks who are
[116:35.20]  counting it's that means 10 000
[116:36.88]  or more in mrr just to give you an idea
[116:38.88]  of you know of where he lands
[116:41.04]  um your yeah your minneapolis based i
[116:42.96]  think we already mentioned that which is
[116:43.84]  why we can hang out
[116:45.04]  and really my first furious question for
[116:46.88]  you is longboard or shortboard sir
[116:49.44]  actually wakeboard wakeboard western kid
[116:51.76]  that's uh that's kind of what i've grown
[116:53.12]  up doing and
[116:54.08]  actually did around this past weekend
[116:55.36]  which i'm still feeling the effects
[116:56.96]  though
[116:57.60]  from yeah so a wakeboard you pull on the
[116:59.20]  back of a boat right and you stand up on
[117:00.96]  it so it's
[117:01.52]  it's as close as you can kind of get to
[117:02.80]  surfing on this yeah exactly that's how
[117:04.16]  you start from the midwest i guess
[117:05.52]  10 000 lakes you don't have much tide
[117:07.12]  for a long board so
[117:08.88]  obviously this was a pain point you know
[117:10.56]  to build blue rhythm like the origin
[117:12.32]  story
[117:13.36]  since you were involved in this
[117:14.40]  commissioning this was a pain point that
[117:16.00]  you were experiencing
[117:17.52]  but you weren't a developer i know you
[117:19.52]  had toyed around with some stuff
[117:21.28]  but like what made you think that you
[117:22.64]  could build the prototype of blue rhythm
[117:24.80]  not having ever built you know really
[117:26.56]  built production code
[117:28.00]  yeah so i guess i didn't know for sure
[117:30.72]  that i could
[117:31.36]  but i also didn't know that i couldn't
[117:33.76]  so i really just wanted to try
[117:35.76]  um so that's what i did i just kind of
[117:37.44]  started tinkering at first and just kind
[117:39.12]  of testing the waters i tested the mark
[117:40.80]  a little bit i did some outreach
[117:42.64]  um just put some feelers out and it just
[117:44.72]  kept building and building and
[117:46.16]  i got good response from people and
[117:48.32]  decided to
[117:49.68]  just keep at it yeah and so when you
[117:52.48]  started building blue rhythm
[117:54.16]  was there existing software already
[117:56.96]  doing
[117:57.44]  this and if so why did you think you
[118:00.48]  know what edge did you think you had
[118:02.16]  what did you think you could do better
[118:04.40]  sure so yeah there were some existing
[118:06.48]  solutions out there so that gave me just
[118:08.24]  a little bit of confidence that
[118:09.68]  there was a market you know there was
[118:11.04]  people paying money for a solution like
[118:12.64]  this
[118:13.52]  um but the the existing options were
[118:16.40]  either
[118:16.96]  real old legacy platforms that were kind
[118:18.88]  of on the downslope of their their life
[118:20.88]  cycle
[118:22.00]  or there's a there's a couple newer real
[118:24.48]  modern sas
[118:25.36]  you know web web-based platforms that
[118:27.92]  are out there and
[118:29.60]  they just have real clunky pricing
[118:30.88]  models they're not as easy to do
[118:32.16]  business with
[118:33.36]  so i felt like there was an opportunity
[118:35.44]  to to get in
[118:36.72]  it's not a saturated market over half of
[118:39.92]  this industry is not
[118:41.04]  using a sas solution right now they're
[118:42.88]  using a combination of
[118:44.48]  home-grown tools access databases maybe
[118:46.72]  some cloud file storage so
[118:48.48]  lots of opportunity for them to
[118:50.00]  streamline and really come on board with
[118:51.92]  a you know modern
[118:53.04]  web platform to manage their projects
[118:54.88]  yeah that makes sense
[118:56.08]  and so how in an industry like this
[118:57.68]  obviously you're not going to be able to
[118:59.04]  run
[118:59.92]  um i shouldn't say not but i would guess
[119:02.48]  i'm guessing facebook ads is not going
[119:03.76]  to work in your space you know and even
[119:05.36]  like
[119:06.16]  google adwords and linkedin are going to
[119:07.92]  be a tough they're going to be tough
[119:09.20]  traffic
[119:10.08]  channels so you know are there a couple
[119:12.16]  kind of lead gen
[119:13.12]  avenues that have really worked for you
[119:15.12]  yeah it's it's been tricky it's still
[119:17.04]  it still is tricky so whatever we do it
[119:19.52]  just has to be very very targeted so yes
[119:21.84]  facebook ads are difficult um we're
[119:23.84]  trying some different things with
[119:25.68]  just promoting uh blog posts to a
[119:28.56]  retargeted audience or lookalike
[119:30.16]  audiences so still very very narrow
[119:32.56]  um same thing with with google ads so
[119:34.32]  any paid paid acquisition we're
[119:36.32]  we're keeping it very small very focused
[119:39.36]  and the things that have really i think
[119:42.00]  moved the needle are kind of the
[119:43.12]  in-person events so
[119:44.32]  we go to industry conferences it's such
[119:46.32]  a small community that
[119:47.52]  if you're not at those events you're
[119:48.80]  really kind of not part of the
[119:51.44]  industry and in the community so you
[119:53.76]  know last year once we
[119:54.80]  once we started showing up to those
[119:56.32]  events it really just gets our name
[119:58.00]  out there people see that we're serious
[120:00.00]  and we're here to stay and make a
[120:01.76]  long-term push
[120:02.88]  in the market so the in-person events at
[120:05.12]  conferences
[120:05.92]  you know setting up a booth talking to
[120:08.08]  people face-to-face and
[120:09.84]  cold outreach has been a good channel
[120:11.52]  for us too
[120:12.88]  which is difficult and there's some good
[120:14.40]  bad ways to do that but
[120:16.08]  um had some success there just some
[120:18.16]  people just you know aren't aren't aware
[120:19.92]  or
[120:20.56]  um just aren't currently you know in the
[120:22.56]  mindset where they're looking so they
[120:23.68]  just need
[120:24.16]  that little extra prompt to get them
[120:26.24]  interested yep
[120:27.36]  yeah and that's the thing is you know
[120:28.64]  i'll hear people say that let's say cold
[120:30.88]  email is dead
[120:31.76]  or that um you know trade shows and
[120:33.92]  events aren't worth it but in these
[120:35.68]  small niches
[120:37.12]  where there are only thousands of
[120:39.12]  potential customers you know or maybe
[120:40.64]  tens of thousands but there aren't that
[120:41.84]  many
[120:42.88]  that oftentimes that still works you
[120:44.64]  know if you're trying to cold email
[120:46.56]  um i'm trying to say you know if you're
[120:48.48]  trying to cold email startup founders
[120:49.76]  today
[120:50.56]  or startup executives or whatever that's
[120:52.32]  a it's pretty saturated it's still
[120:53.84]  possible you can
[120:55.04]  but it takes a lot of time but in a
[120:56.56]  space like that that maybe isn't
[120:57.76]  inundated
[120:58.64]  uh you know i think there's a lot of
[121:00.16]  room there yep so
[121:01.84]  you started working on blue river then
[121:03.36]  part time about four years ago it was
[121:05.12]  2016
[121:06.56]  um you toiled part-time for two years
[121:09.20]  and
[121:09.68]  you you know you told me offline before
[121:11.36]  we chatted you had a bunch of beta users
[121:13.12]  coming really early
[121:14.32]  they would come in they'd use it and
[121:15.68]  they would churn out what was going on
[121:17.92]  there what was the issue because
[121:19.28]  i'm sure there are folks listening right
[121:20.96]  now who are in exactly the same position
[121:22.48]  that you were two years ago
[121:23.60]  yeah so for better or worse i took the
[121:26.08]  path of
[121:27.28]  getting something put together getting a
[121:29.68]  usable product
[121:30.64]  i don't know if you call an mvp or not
[121:32.00]  but getting something there where people
[121:34.08]  could come in and use it
[121:35.60]  so i was i was just testing the product
[121:38.48]  testing to see what what people
[121:40.08]  would respond to and i got a huge amount
[121:42.96]  of feedback
[121:43.68]  so it's not a
[121:46.88]  approach that would work or i would
[121:48.80]  advise in all situations
[121:50.08]  but for me never having started a
[121:53.20]  business before let alone a software
[121:54.72]  company
[121:55.36]  getting that getting all that feedback
[121:56.80]  early on really drove the direction that
[121:59.68]  we ended up taking the company and i
[122:01.28]  think without that feedback we would
[122:02.64]  have
[122:02.96]  toiled a lot longer and and had a lot
[122:05.68]  more difficulty reaching the point where
[122:07.12]  we finally feel like we have
[122:08.32]  product market fit um where we've
[122:10.48]  figured out these different marketing
[122:11.76]  channels and stuff so
[122:13.04]  just lots of experimentation and some of
[122:15.68]  those early adopters that are willing to
[122:17.44]  give us a try they're also willing to
[122:19.84]  you know tell you how bad it sucks or
[122:21.44]  give you some some feedback that'll get
[122:23.36]  you going in the right direction so
[122:25.52]  um that's that's really what it was it
[122:27.84]  just was a product that
[122:28.88]  that wasn't quite ready yet and you know
[122:31.76]  so many developers that i know
[122:33.92]  go in their basement for two years and
[122:36.32]  just code and they don't have anybody
[122:37.84]  use the app
[122:38.64]  whereas you went counter to that it
[122:41.60]  sounds like intuitively your natural
[122:43.44]  instinct was to let people use it early
[122:45.60]  again that's
[122:46.80]  even back in the day that was not my
[122:48.24]  instinct because i was scared and i it
[122:49.68]  was never good enough and it was never
[122:50.88]  there
[122:52.16]  why do you think you did that why do you
[122:53.52]  think you did the opposite of what most
[122:55.04]  people do
[122:55.84]  um partly for the reasons i said and
[122:58.08]  partly just out of ignorance um
[123:00.24]  honestly there were a couple times where
[123:02.08]  i i thought we had
[123:03.76]  got it to a point where it was going to
[123:05.76]  work and it was
[123:06.88]  good enough so to speak but it wasn't
[123:09.68]  and
[123:10.24]  those were the just in terms of
[123:12.64]  rejection and uh just the emotional
[123:14.88]  response that i had those were some of
[123:16.40]  the
[123:16.72]  the toughest times but um you know i
[123:20.08]  just stuck with it and i was like you
[123:21.36]  know there's there's a response people
[123:22.72]  want this
[123:23.36]  if i keep at it eventually we'll get
[123:25.36]  this figured out and eventually they'll
[123:27.68]  you know the the feedback will shift to
[123:30.16]  more
[123:30.88]  positive versus more negative right yeah
[123:33.44]  that's what i was going to ask you about
[123:34.80]  you spent two years part-time obviously
[123:37.44]  you were probably working a day job
[123:38.64]  right and you had nights and weekends
[123:40.16]  working on blue rhythm two years is a
[123:42.88]  long time
[123:43.52]  you're getting rejection people are
[123:44.88]  churning out why didn't you quit
[123:47.76]  i think there was always enough momentum
[123:50.96]  for me to keep pushing forward and and i
[123:52.88]  just had a strong desire to make it work
[123:55.84]  i'd always wanted to have
[123:57.36]  something that i that i own that i
[123:58.80]  created i just liked the
[124:00.96]  the process of creating and getting the
[124:03.36]  feedback even though it's not always
[124:04.80]  good and
[124:05.44]  and taking that adding it into the
[124:07.12]  product and then getting the feedback
[124:08.40]  that says hey that's great
[124:09.60]  thanks for thanks for doing that um so
[124:12.96]  just the just the desire to see it to
[124:15.68]  see it through and to
[124:16.64]  to see it work and just knowing that the
[124:18.64]  market was there you know it wasn't like
[124:20.48]  i was trying to
[124:21.28]  convince people to to do something that
[124:23.28]  they had never
[124:24.48]  thought of or seen before right yeah and
[124:27.20]  then
[124:27.92]  it was just about a year ago it was
[124:29.24]  mid-2019 that you you kind of
[124:31.76]  call your soft launch right where you
[124:33.36]  actually feel like you kind of went all
[124:35.44]  in
[124:36.32]  you said this is when things started
[124:37.52]  growing for you and
[124:40.00]  i'm sure is that when you went full-time
[124:41.92]  it is yeah may last year
[124:43.44]  may of last year and did you have enough
[124:45.76]  revenue to cover
[124:46.88]  your you know expenses or did you have
[124:49.28]  savings or did you just
[124:50.48]  jump off the diving um yeah i didn't
[124:52.40]  wasn't quite at a point where
[124:53.92]  the the business alone would have um
[124:55.84]  kept me going so
[124:57.36]  i had a fallback plan which was some
[124:59.20]  savings which i did use some of
[125:01.60]  um but yeah i just had confidence that
[125:06.40]  we were
[125:07.28]  close enough to product market fit that
[125:09.36]  it was going to work
[125:10.48]  um just because of our who our customers
[125:12.96]  are and how our pricing model works it
[125:14.80]  makes sense most of the time for people
[125:16.24]  to pay annually
[125:17.52]  so even though our mrr you know was
[125:19.28]  maybe in four figures the actual amount
[125:21.12]  of money coming in the door was
[125:22.72]  you know in five figures potentially or
[125:24.64]  higher four figures so
[125:26.48]  um i just i just had confidence that it
[125:29.28]  was
[125:30.00]  going to work out one way or another and
[125:31.84]  you know worst case i
[125:33.28]  like i told you i end up living in my
[125:34.72]  parents basement for a little bit but
[125:36.88]  that happens it's sacrifices we make
[125:38.80]  right yeah yeah so
[125:40.88]  pull the trigger i figured if if i'm
[125:42.32]  going to make it work i got a i got to
[125:43.76]  be all in and
[125:44.80]  that's the that's when i jumped off yep
[125:47.60]  and
[125:48.96]  i was so that he he just said a pretty
[125:51.04]  cool hack that i've heard many people
[125:52.64]  mention i've actually done it myself
[125:53.76]  jason cohen talked about it
[125:55.28]  um in in one of the best talks about
[125:57.12]  bootstrapping uh
[125:58.32]  ever called backing what is it yeah
[126:00.64]  building the ideal bootstrap business i
[126:01.92]  believe but it's the annual prepay and
[126:03.36]  if you're in a space
[126:04.48]  where as a bootstrapper you can get your
[126:06.24]  customers to annually
[126:07.68]  prepay you typically give them two
[126:09.20]  months off is how you know i would often
[126:10.96]  work it so you give them about a 16
[126:12.72]  and 23 discount um then your cash flow
[126:15.84]  is way more than your mrr but that can
[126:17.44]  allow you to either hire someone or
[126:18.88]  allows you to quit your day job or
[126:20.08]  whatever it is
[126:21.60]  i'm curious so you have this two years
[126:23.84]  of just two or three years of kind of
[126:25.76]  toiling part-time
[126:26.96]  and struggling people are churning out
[126:30.96]  then you s you had enough traction that
[126:33.04]  you're like i think we're almost at
[126:33.92]  product market fit and and then you did
[126:35.68]  you have achieved it at this point um
[126:37.92]  what changed between that early height
[126:40.80]  those early high
[126:41.60]  churn days and the past 12 months of
[126:43.92]  kind of as your growth has accelerated
[126:45.44]  like what's
[126:46.32]  what's different yeah i can't point to
[126:49.04]  one specific thing but it's definitely
[126:51.12]  just a
[126:51.84]  you know a combination of um getting the
[126:55.68]  getting the messaging and the marketing
[126:57.36]  the positioning figured out
[126:58.80]  uh you know so we're we're talking to
[127:00.96]  the right people we're
[127:02.24]  having the right people coming to talk
[127:04.16]  to us about signing up
[127:05.92]  um so they know what they're getting
[127:07.28]  into we know who we're talking to and
[127:09.12]  and what the you know ideal customer is
[127:11.52]  looking for
[127:12.56]  and then just having that much time to
[127:14.56]  to work on the product and get it ready
[127:16.48]  and
[127:16.80]  and get you know as closer i can't say
[127:19.36]  that we're
[127:20.16]  100 there but getting much much closer
[127:22.32]  to product market fit
[127:24.56]  yeah that makes sense such an evolving
[127:26.64]  process and it's not binary right it's a
[127:28.56]  continuum it's like
[127:30.00]  you notch it up from 20 to 30 to 40 to
[127:32.48]  50
[127:33.36]  60 70 and then oftentimes you'll find a
[127:35.36]  new audience and i don't know
[127:36.64]  in your tight niche if it'll do that but
[127:38.16]  then you find a new audience that finds
[127:39.44]  out about you
[127:40.08]  and then your aggregate part of market
[127:41.76]  fit actually goes down again and then
[127:43.04]  you have to work
[127:43.60]  because the new audience you don't quite
[127:44.96]  have it right you don't have all the
[127:45.84]  features yep
[127:46.80]  um as as we kind of wrap up i you know
[127:49.76]  you're you're in tiny seed batch two
[127:51.44]  yep and um i'm curious
[127:54.72]  why like what made you decide to well
[127:57.76]  first i'm curious how you heard about
[127:58.80]  tiny seed and second what made you
[128:00.56]  decide to apply because the application
[128:02.72]  you know you went um middle of of 2019
[128:05.84]  you went full time
[128:06.96]  you would have applied probably four or
[128:08.32]  five months later it would have been
[128:09.28]  november of 2019
[128:10.96]  and then you would have been accepted i
[128:12.08]  think you know about six seven months
[128:13.60]  ago so
[128:14.32]  first you know where'd you hear about it
[128:15.52]  in a second what made you decide to
[128:16.64]  apply
[128:17.36]  so i had been a listener of startups for
[128:19.68]  the rest of us for a long time
[128:21.68]  so i that's probably where i heard about
[128:23.92]  it or just something related to that
[128:25.76]  that channel and the idea was to
[128:30.56]  it wasn't so much a safety net so to
[128:33.28]  speak but it was
[128:35.04]  originally planned to be kind of an
[128:36.56]  accelerant so there were some other
[128:38.48]  parts of the the platform that we really
[128:40.24]  needed to to reach
[128:42.24]  to really get our platform built out and
[128:44.00]  get to parity and exceed
[128:45.44]  parity with the other options out there
[128:47.44]  and the plan was to take that and really
[128:49.36]  just kind of
[128:50.24]  throw the fuel on the fire i feel like i
[128:51.92]  felt like we had a really good idea of
[128:53.20]  what we needed to do at that point and
[128:54.88]  i just wanted to do it faster really and
[128:57.20]  has it accelerated for you
[128:58.40]  yeah definitely awesome yep well sir
[129:00.80]  we're at time thank you so much for
[129:02.16]  joining us today yeah
[129:03.44]  absolutely happy to be here all right
[129:05.44]  great having you
[129:12.72]  hello and welcome to your five minute
[129:15.12]  seo hack
[129:16.40]  in this hack we want to be using free
[129:18.32]  google tools to find opportunities
[129:20.64]  within existing content
[129:22.48]  and then i'll show you some tweaks that
[129:24.16]  you can be making to rank for more
[129:26.32]  keywords
[129:27.20]  for pages that you already have my name
[129:29.52]  is viola eva and i run a company called
[129:31.36]  flow seo where we help digital
[129:33.12]  businesses to rank on google and
[129:34.48]  increase their organic traffic
[129:36.72]  here i've jumped into google search
[129:39.20]  console
[129:40.00]  google search on console is our
[129:41.68]  opportunity to communicate with google
[129:45.60]  it is not google analytics google
[129:47.68]  analytics is something where you've
[129:49.04]  probably in and
[129:50.40]  before which allows you to look how many
[129:52.64]  people visit your website
[129:54.24]  and what do they do on your website
[129:56.24]  google search console is
[129:57.76]  more of your control center in which you
[130:00.32]  communicate with google
[130:01.92]  it allows you to see how many pages are
[130:04.24]  indexed if there are any errors
[130:05.92]  and it also gives you a brief keyword
[130:08.56]  report
[130:09.20]  it's probably not the best keyword
[130:10.80]  report to be found that's what seo tools
[130:13.12]  are for but once you set it up it's free
[130:15.52]  so this is what's making it interesting
[130:18.40]  i'm here in the performance report and
[130:20.56]  i've chosen to look
[130:22.08]  at the last text month now i'm clicking
[130:24.24]  here for average ctr and average
[130:26.00]  position
[130:27.12]  and i'm scrolling down to pages
[130:30.48]  what i'm looking for are pages where i'm
[130:33.68]  stuck on page two or three or four of
[130:37.68]  google
[130:38.48]  these are the pages where google is
[130:40.72]  showing some interest we
[130:42.08]  are ranking right we made it to page two
[130:45.28]  but we're not getting the organic
[130:46.72]  traffic that we deserve because google
[130:48.32]  thinks we're not quite relevant
[130:50.88]  so i'm looking here at the position
[130:53.68]  column to kind of like find
[130:54.96]  opportunities
[130:56.08]  and i basically want to see where i may
[130:58.00]  be getting some impressions and some
[130:59.84]  clicks but not a whole lot
[131:01.92]  so this one here stands out to me and it
[131:03.92]  stands out to me because it's a good
[131:05.52]  important keyword seo agency berlin but
[131:08.40]  it's really not getting any
[131:10.00]  good like clicks that make it worthwhile
[131:13.60]  i can now click and see more details
[131:15.92]  about that specific page
[131:17.68]  and i'm typing here to look at the
[131:19.92]  queries
[131:21.04]  so here i can see all the keywords that
[131:23.52]  i'm
[131:24.32]  currently ranking for and that google
[131:25.76]  search console is tracking and showing
[131:27.84]  to me
[131:28.96]  so this gives me an idea on where i'm
[131:30.72]  doing well so seo agency berlin i can
[131:33.36]  see
[131:33.68]  okay i'm almost on page on the bottom of
[131:36.24]  page 1 position 10 that's quite good
[131:38.64]  but then for example there's seo company
[131:40.96]  in berlin where i'm in position 19 so i
[131:43.20]  could be doing much better here
[131:44.88]  and this is also a keyword that has a
[131:46.80]  lot better click-through rate
[131:48.24]  so it might be interesting for me so
[131:50.40]  what i'm curious to understand
[131:52.00]  is if i'm leaving any money on the table
[131:53.92]  here with this keyword seo company
[131:55.92]  compared to my focus keyword seo agency
[131:59.92]  so i'm jumping into the article
[132:03.36]  and it basically allows me to have a
[132:04.96]  look on what i have here
[132:06.72]  and then use another free seo tool
[132:09.20]  called seo minion
[132:10.88]  and i can basically click on analyze on
[132:14.08]  page seo and in can i'm trying to
[132:16.00]  understand if i did my seo basics right
[132:18.88]  the seo basics include adding my keyword
[132:21.92]  into the url
[132:23.12]  adding my keyword into the page title
[132:25.20]  and then adding it
[132:26.24]  into my headline one and possibly a few
[132:28.96]  sub-headlines
[132:30.08]  i can see that i've done a really good
[132:31.44]  job here the keyword boutique seo agency
[132:33.52]  berlin
[132:34.24]  it appears in some of the most important
[132:36.24]  ranking factors
[132:37.92]  what i can never see here is the keyword
[132:40.16]  seo company it doesn't appear in the sub
[132:42.24]  headlines it doesn't
[132:43.36]  appear in the page shuttle meta
[132:44.48]  description or url now one word of
[132:47.04]  advice about urls
[132:48.48]  you don't want to change and redirect
[132:50.32]  your urls in this case this is really
[132:53.60]  rolling the dice if you create a new
[132:55.52]  page always make sure to keep it
[132:56.88]  optimize your urls but if you're already
[132:58.40]  on page two
[132:59.44]  i wouldn't dare to roll the dice and i
[133:00.96]  just leave it it is
[133:02.88]  so i'm jumping into the actual page and
[133:05.84]  i'm typing the word company to see if
[133:07.84]  i'm even using the word company
[133:10.32]  and i can see that i'm using it several
[133:12.72]  times
[133:13.68]  but i'm always using it in the context
[133:15.76]  of talking about my clients basically
[133:17.52]  seo enables your company or your
[133:19.76]  company's goal
[133:21.44]  um and then what else do you have here
[133:23.68]  again
[133:24.48]  as you ordered for your company we will
[133:27.52]  sleep and breathe your company
[133:28.96]  so what i can see is in this entire page
[133:30.88]  the word seo company berlin
[133:33.36]  actually never appeared so this is
[133:35.52]  actually a really really good
[133:36.48]  opportunity
[133:37.20]  because i'm already in position 19 and i
[133:39.04]  didn't even use that keyword
[133:40.80]  so if i can now start adding that
[133:42.64]  keyword
[133:44.00]  my chance of improving is a lot better
[133:46.16]  same here is like search engine
[133:47.68]  optimization berlin
[133:49.36]  i'm in position 22 and that probably
[133:51.68]  doesn't even appear on the page
[133:53.60]  so by adding in those keywords that are
[133:57.12]  that are doing somewhat well but not
[133:58.72]  super well but not even appearing in the
[134:00.56]  text that can dramatically improve my
[134:02.32]  chance of ranking
[134:04.80]  i have an seo checklist that you can
[134:07.04]  download here
[134:07.84]  at floyd.com content slice checklist no
[134:10.64]  opt-in
[134:11.20]  no sign up no nothing you just jump
[134:13.20]  right into my content calendar template
[134:15.68]  and the parts that are interesting for
[134:17.20]  you is the seo checklist that starts
[134:19.52]  here at column h
[134:21.12]  and it basically tells tells you what
[134:23.36]  you should be looking at first it asks
[134:25.04]  you have you done a good job with the
[134:26.56]  main keyword which is the most important
[134:28.00]  keyword for the page
[134:29.60]  but then it also asks you did i use my
[134:31.52]  supporting keywords in the sub-headline
[134:33.12]  in the body of text
[134:34.48]  and here i can see for the two keywords
[134:36.32]  that were my opportunities
[134:37.84]  i didn't even do that so now my job
[134:40.96]  would be basically taking that page and
[134:43.04]  making sure that i can confidently say
[134:45.20]  yes
[134:45.92]  for all these important on-page seo
[134:47.92]  factors
[134:49.36]  and this is how you can find seo
[134:51.36]  opportunities just by using the free
[134:53.12]  google search console
[134:54.32]  and the seo minion plugin and a free
[134:56.40]  spreadsheet that i offered you here
[134:58.40]  i hope you're going to have fun with
[134:59.52]  this and happy ranking
[135:02.32]  our next keynote is from the co-founders
[135:05.44]  of squadcast squadcast.fm
[135:09.44]  is podcast it's remote podcast recording
[135:12.40]  software
[135:13.28]  so you log into a web browser you send a
[135:15.76]  link to
[135:16.40]  a guest up to three guests and you can
[135:18.16]  all uh just get in
[135:19.92]  and instantly record local audio super
[135:22.64]  high quality it's what i
[135:24.00]  use to record all three of my podcasts
[135:26.88]  so zach moreno and rock felder
[135:29.04]  they've been friends for most of their
[135:30.16]  lives and they're lucky to have
[135:31.12]  maintained that friendship
[135:32.40]  as they built squad cast into a company
[135:34.40]  that has blown past
[135:35.76]  100k mrr they've blown past that mark in
[135:38.40]  the past year
[135:39.60]  and with that let's welcome rock and
[135:41.44]  zach to the show thank you gentlemen so
[135:43.04]  much
[135:45.20]  hi thanks rob thank
[135:49.68]  can you hear us guys yep
[135:52.80]  all right well hello to our friends of
[135:54.56]  microconf thank you all for your time
[135:56.40]  today
[135:57.36]  we're super excited maybe even a little
[135:59.44]  nervous about sharing our story with you
[136:01.60]  on how we blew past 100k mrr just a
[136:04.64]  warning
[136:05.20]  uh it happened a little bit different
[136:06.80]  than we expected and we think it can for
[136:08.80]  you too
[136:10.24]  uh before we do get started with uh the
[136:12.80]  presentation though we would like to
[136:14.08]  introduce ourselves so zach say hi and
[136:16.00]  tell him a little something about what
[136:17.28]  you do at squad cast yeah hey everyone
[136:18.96]  i'm the co-founder and ceo of squad cast
[136:21.44]  with my good friend rock
[136:23.60]  yeah and i'm rock and i'm the co-founder
[136:25.20]  and cfo so kind of handle
[136:26.96]  uh more of the business sales side of
[136:29.28]  things
[136:30.00]  okay so a little bit about
[136:33.28]  our backstory we're uh longtime friends
[136:35.60]  as we shared
[136:36.56]  and we are avid podcast listeners rock
[136:39.76]  actually introduced me to podcasts and
[136:42.56]  i've always loved
[136:43.28]  listening because we have uh we have a
[136:45.28]  love for for learning new things and
[136:47.36]  podcasts are a fantastic way to go
[136:49.84]  really deep
[136:50.48]  into a niche topic uh very quickly
[136:53.84]  and from there we decided to make the
[136:56.96]  the transition over the course of a
[136:59.60]  couple years later decided to make the
[137:01.36]  jump from being a
[137:02.48]  passive listener to a lot of podcasts
[137:05.36]  and really make the jump into being
[137:07.12]  an active creator and participate in
[137:09.76]  making our own show
[137:11.20]  we wanted to do a science fiction audio
[137:13.60]  drama so
[137:14.56]  um that's a relatively new category
[137:17.12]  within podcasting
[137:18.88]  and uh just fell in love with that right
[137:20.56]  away so
[137:22.00]  uh once we started that journey we had a
[137:24.40]  we had a constraint
[137:25.68]  of being a remote team and um
[137:28.72]  you know like like we are today so uh we
[137:31.20]  we didn't want to sacrifice the
[137:32.88]  the audio quality of our production uh
[137:35.68]  with uh with that constraint of having a
[137:37.76]  remote producer and
[137:39.68]  voice actors and authors and all of
[137:43.04]  those things we we needed to have
[137:44.88]  high quality production while having a
[137:47.68]  distributed team to have any kind of
[137:49.36]  regular cadence which is super important
[137:51.28]  to podcast
[137:52.40]  audience growth so we we found that
[137:55.28]  problem of
[137:56.00]  of audio quality wasn't really there
[137:58.00]  with the state of the art
[137:59.36]  in in the industry and really saw that
[138:02.80]  as a as a challenge kind of accepted
[138:04.88]  that challenge and pivoted then from
[138:07.60]  doing this sci-fi audio drama podcast
[138:10.72]  to uh to a sas startup which which is a
[138:13.28]  first for us
[138:16.24]  so what we do like rob shared we help
[138:19.52]  professional podcasters
[138:20.88]  record remote interviews in studio
[138:23.60]  quality
[138:24.88]  so we help with recording thousands of
[138:27.36]  hours each month
[138:28.80]  in over 120 countries around the world
[138:33.20]  and in the graphic you can see there on
[138:35.36]  the right
[138:36.88]  the
[138:40.24]  ah there we go sorry about that
[138:43.44]  cool there we go that's the graphic all
[138:45.76]  right so
[138:46.96]  um we help podcasters we do it a lot and
[138:49.92]  um
[138:50.56]  and that ux is uh very similar to other
[138:53.60]  video apps and conferencing apps that
[138:55.92]  you may have used
[138:57.84]  except that we record studio quality
[139:00.64]  audio
[139:02.16]  and we have two patents pending on our
[139:04.88]  technology solutions for
[139:06.40]  how we empower that style of recording
[139:09.12]  and
[139:09.60]  we've been bootstrapped and working on
[139:11.28]  this for around four years now
[139:18.16]  all right and uh on this next slide
[139:20.08]  you'll see some of the companies that
[139:21.68]  we're honored to work with but we also
[139:23.12]  get to work with
[139:24.24]  a lot of amazing podcasters like pat
[139:26.96]  flynn kara swisher
[139:28.80]  people at the spotify gimlet teams and
[139:30.80]  so many of those other companies that
[139:32.16]  you see
[139:32.72]  oh excuse me and the great rob walling
[139:34.56]  too like he mentioned so it's truly an
[139:36.08]  honor
[139:36.56]  yeah it's truly an honor to help that
[139:38.32]  and so many other podcasters in
[139:40.48]  various uh places in their journey
[139:42.48]  whether they're just starting off
[139:44.16]  or they're uh you know a pro working for
[139:46.48]  a big corporation
[139:48.16]  and these creatives really define the
[139:50.40]  standards for audio quality in our
[139:51.84]  industry
[139:52.80]  and will really help them to achieve it
[139:54.32]  at scale
[139:57.36]  all right but because we have such deep
[140:00.00]  respect
[140:01.04]  for the work that you all are doing we
[140:03.20]  need to be real with our fellow
[140:04.48]  bootstrappers
[140:05.92]  it honestly felt like it took forever
[140:07.76]  for us to reach 10 kmrr
[140:09.52]  and um that wasn't very long ago
[140:17.52]  yeah so um we've never done any of this
[140:20.56]  before
[140:21.28]  and uh like rock said we respect all of
[140:23.28]  you for going on
[140:24.32]  on a similar journey and uh our founding
[140:27.12]  team
[140:28.08]  have all had day jobs for for years into
[140:31.28]  this experience together
[140:33.28]  and uh and when we finally did reach 10k
[140:36.16]  mrr
[140:37.68]  um 100k just seemed like
[140:40.88]  light years in the future from that and
[140:44.24]  uh
[140:44.80]  rock and i finally started paying
[140:46.40]  ourselves in january of this year so
[140:49.20]  still 2020 even though it has been kind
[140:51.60]  of a dumpster fire in lots of ways
[140:53.60]  uh that was a big milestone for us so we
[140:57.04]  suspect that uh this may sound familiar
[140:59.12]  to the to the journey that you're on
[141:04.48]  all right so we're gonna go back about a
