Title     : 370: Banzai: Pivoting from a Near  Collapse to 8 Figure ARR SaaS
Video ID  : 42RZZ3llZFs
[55:34.64]  there's a a big lesson in there
[55:36.24]  somewhere for entrepreneurs which is you
[55:38.72]  know probably um just the importance of
[55:41.56]  resilience to totally yeah all right
[55:44.44]  look we should wrap up um so let's get
[55:46.28]  into the lightning round I've got seven
[55:47.76]  quick fire questions for you just try to
[55:49.72]  answer them as quickly as you can hit me
[55:51.52]  all right what's one of the best pieces
[55:53.08]  of business advice you've received let's
[55:55.52]  see best piece of business advice I've
[55:57.80]  received probably is is Super Mario
[56:02.20]  mindset um or you know I call it
[56:04.72]  sometimes the sore tooth mindset but
[56:06.60]  either what is the superpower or what is
[56:08.68]  the pain that you solve for customers
[56:10.96]  get really clear about you know if
[56:12.04]  you're Super Mario Brothers you know
[56:14.04]  what is the mushroom that you sell that
[56:16.12]  gives Mario the superpower to get big or
[56:18.40]  shoot Fireballs or whatever what's your
[56:20.40]  version of that what are your C what
[56:21.80]  kind of fireballs do your customers get
[56:23.20]  to shoot when they buy your product and
[56:25.40]  what pain does that solve for them love
[56:27.16]  it what book would you recommend to our
[56:29.12]  audience and why uh competing against
[56:31.28]  luck by Clayton
[56:32.64]  Christensen uh it's about a framework
[56:34.72]  called the jobs to be done framework I
[56:36.28]  think that framework is the most clear
[56:38.28]  way to uh collect your thoughts around
[56:41.72]  the problems that you're solving for
[56:42.96]  your customers um so it's I think it's
[56:45.64]  the best framework out there in terms of
[56:47.20]  just uh the statistical s success of the
[56:51.32]  companies that have implemented it in
[56:52.72]  their product development efforts are
[56:54.92]  radically better than companies that
[56:56.40]  don't implement this framework so I
[56:58.28]  think if you're a Founder this is one of
[56:59.60]  the best things you can do for yourself
[57:00.80]  is read this book understand what jobs
[57:03.08]  to be done is uh and understand you know
[57:05.76]  how understand what jobs you're doing
[57:07.64]  for your customers what's uh one
[57:10.52]  attribut or characteristic in your mind
[57:11.92]  of a successful founder resilience if
[57:14.72]  you don't stick in the game you you
[57:16.32]  can't win what's your favorite personal
[57:18.32]  productivity tool or how it right these
[57:21.04]  days it's chat GPT plus zappier uh I've
[57:24.52]  I Ed up so many things that use you know
[57:27.92]  in zappier that use chat GPT to automate
[57:31.12]  uh boring stuff for me I hate taking
[57:32.64]  notes so I wired up a uh a slackbot
[57:36.24]  using zapier and chat GPT that I can
[57:38.24]  just tell it what I want it to do and
[57:39.88]  it'll go add something to notion for me
[57:41.76]  or you know write it down somewhere so
[57:44.00]  that's that's huge love it what's a new
[57:47.08]  crazy business idea you'd love to Pur
[57:48.88]  you if you had the time uh I think
[57:50.92]  hydroponic farming is going to be a huge
[57:53.04]  thing uh I think you know we're facing a
[57:55.12]  lot of different crises around water
[57:57.28]  consumption around climate change uh
[58:00.40]  around uh essentially uh Urban food
[58:03.28]  deserts and I think that uh uh there's
[58:07.00]  going to be a shift uh in the next few
[58:09.84]  years to and there's some really
[58:11.24]  interesting companies working in the
[58:12.60]  space uh to Urban farming uh that that's
[58:17.24]  you know low water that's highly
[58:19.56]  controlled uh that's low pesticide and
[58:22.60]  that's you know the yields are are some
[58:24.84]  much better so I think it's a I think
[58:26.88]  it's a big opportunity what's an
[58:28.80]  interesting or fun fact about you that
[58:30.48]  most people don't know I'm in the
[58:32.44]  process of uh I love to learn languages
[58:35.60]  I always thought I was terrible at it
[58:37.52]  but I uh uh
[58:40.36]  discovered uh a kind of series of books
[58:44.32]  that have been really awesome so uh I've
[58:47.08]  been learning to speak uh a few
[58:49.48]  different languages right now I'm still
[58:51.72]  I'm learning German uh because one of my
[58:54.80]  good friends who's our CTO here lives in
[58:57.04]  Germany and uh my wife and I love going
[58:59.12]  over to visit uh Germany we love he
[59:02.00]  lives around heidleberg which is an
[59:03.36]  awesome City so uh I've been practicing
[59:06.20]  languages I practice every day uh it's
[59:08.36]  it's a fun hobby awesome and finally
[59:10.40]  what's one of your most important
[59:11.32]  passions outside of your work uh my
[59:13.40]  night job is uh working on Seattle
[59:16.60]  Symphony so uh I have I'm the vice
[59:20.12]  chairman of the Seattle Symphony I lead
[59:22.60]  up on community engagement uh committee
[59:25.72]  which we work with kids we work with
[59:27.68]  people in prisons we work with uh you
[59:30.60]  know native peoples are underrepresented
[59:32.36]  people to get them uh you to partner
[59:35.08]  with them so they can experience
[59:36.44]  classical music and so that we can in
[59:38.64]  some cases take their musical traditions
[59:40.28]  and bring them to our audience so we
[59:42.68]  operate right out of Bor Hall in
[59:44.40]  downtown uh Seattle which is one of the
[59:46.48]  most beautiful venues in the world I
[59:48.04]  think you have one of the best
[59:49.64]  symphonies in the world we were one of
[59:51.12]  the only two Symphonies uh in the world
[59:53.56]  that kept performing during Co you know
[59:56.24]  performed regular uh regular schedule
[59:58.48]  during Co and uh you know last year we
[60:01.88]  had over 4,000 kids that we were able to
[60:04.48]  bring uh into Ben royya Hall as part of
[60:06.76]  our community engagement uh program so
[60:09.68]  they can have access to uh live
[60:11.72]  classical music I used to play violin uh
[60:14.68]  I got into it when I was a kid so I just
[60:17.12]  know the importance uh of music and uh
[60:20.12]  you know and how much it can change
[60:22.04]  people's lives and impact people's lives
[60:23.80]  and uh yeah love I love being able to uh
[60:26.84]  help kids and other people get access to
[60:29.12]  that how do you find the time oh I don't
[60:31.44]  sleep yeah yeah
[60:33.80]  exactly all right cool so Joe thank you
[60:36.84]  so much for joining me it's been it's
[60:37.92]  been an absolute pleasure talking with
[60:39.56]  you and sharing the story of bonsai uh
[60:42.28]  if people want to find out more about
[60:44.68]  Bonsai and demio and and all the other
[60:48.04]  uh Acquisitions that you you've either
[60:49.92]  done or will be doing uh they can go to
[60:51.72]  bansai that's b n z AI
[60:55.80]  .io and uh if folks want to get in touch
[60:58.48]  with you what's the best way for them to
[60:59.60]  do that follow me on Twitter at JP Davy
[61:02.60]  JP daav y thank you so much wish you uh
[61:06.36]  and the team the best of success
[61:12.76]  cheers
