Title     : Failure
[52:01.28]  engineer then I was a Founder then I was
[52:02.96]  a product manager and I'm whatever this
[52:04.60]  is whatever you call this thing I guess
[52:06.40]  me too I was I was an operator I was a
[52:09.32]  consultant well I was an employee I was
[52:11.60]  a consultant then I was an operator
[52:12.92]  which is a fancy way to saying employee
[52:14.48]  at a startup and then now I'm a founder
[52:17.20]  and a VC and an angel and whatever this
[52:21.56]  is awesome awesome so I think I think
[52:24.24]  that's a really important takeaway just
[52:25.60]  there's a lot of time to do stuff and
[52:27.00]  don't stress if things aren't moving as
[52:28.96]  fast as you want I'm curious what's like
[52:30.96]  a mess up or a big mistake maybe that
[52:33.28]  you made or your team made that was like
[52:35.40]  oh wow that was a big waste of
[52:37.12]  time yeah look a lot of things didn't
[52:39.40]  work out more than 50% of our of our AB
[52:41.56]  test didn't work out we made bets that
[52:43.32]  didn't make sense I will say though that
[52:45.44]  like in the spirit of A and B sides I
[52:48.72]  and I think in general we are really
[52:50.64]  good at forgetting the B stuff like I I
[52:53.88]  talk so much about all the stuff that
[52:55.24]  that worked that it's hard to remember
[52:57.44]  like all of those moments that didn't
[52:59.32]  actually work and the and the moment and
[53:01.04]  the thing that I I tend to talk about
[53:02.60]  which is like this mistake that we made
[53:04.64]  as the growth team is almost like one of
[53:07.04]  those like when you get asked in an
[53:08.68]  interview like what's your what's like
[53:10.80]  your biggest weakness and you're like
[53:12.00]  I'm a perfectionist you know it's like
[53:13.76]  one of those things that actually makes
[53:14.84]  you sound good because it's the story
[53:17.36]  about how my team really wanted to
[53:19.16]  implement badges we spent a lot of time
[53:21.84]  playing all the games that were popular
[53:23.28]  at the time trying to understand how
[53:25.72]  those gamification growth hacks that we
[53:28.52]  could find in in those apps would
[53:31.88]  potentially overlay on to dualingo and
[53:34.08]  how you know we would do that and badges
[53:37.48]  was just pervasive in all of the top
[53:39.84]  games and so it seemed like a a
[53:41.72]  no-brainer but since we ranked all of
[53:44.20]  our experiments in terms of Roi and
[53:46.92]  return being like how many users we
[53:48.24]  think we're going to get from this Theus
[53:50.08]  and in Time Investments it was never it
[53:53.24]  never made sense to focus on this
[53:54.68]  because we thought that the time sync
[53:56.04]  would be too high so I actually ended up
[53:58.44]  not letting the team run this experiment
[53:59.92]  for like six months so that we focus on
[54:01.36]  Lower hanging fruit so that's like a
[54:03.32]  mistake on my end then we decided to we
[54:06.40]  decided to run this experiment in the
[54:07.88]  most lean way possible we're like you
[54:09.40]  know what like there's MVPs there's like
[54:10.84]  minimum viable experiments we don't have
[54:12.40]  to run a whole badges thing we can just
[54:14.28]  like do something more simple and
[54:15.64]  actually see if that like leads to
[54:17.96]  growth in an interesting way and then
[54:19.44]  we'll know and we ran this very simple
[54:21.28]  experiment that was like you signed up
[54:22.84]  and then you get a badge and it was like
[54:24.76]  this girl with a balloon I don't know
[54:26.16]  she was like happy or whatever and of
[54:27.64]  course of course in retrospect it led to
[54:29.80]  no results because no one is proud of
[54:31.72]  signing up it's not an exciting moment
[54:33.52]  and you don't even have badges to
[54:34.76]  collect you can't show it to other
[54:36.00]  people like none of the things that make
[54:37.72]  badges compelling were there but we were
[54:39.88]  like okay well we tested it didn't work
[54:41.36]  and then we moved on so we moved on for
[54:43.80]  like another I don't know eight months
[54:45.76]  and we didn't look back and then when we
[54:47.80]  did look back first of all at that point
[54:50.36]  we we discovered that we hadn't been dog
[54:52.48]  fooding okay which also was embarrassing
[54:54.40]  looking back we hadn't been dog fooding
[54:55.84]  in the growth team we just come up with
[54:57.20]  hypotheses we like we were super careful
[55:00.32]  about prioritizing them and making sure
[55:01.88]  that we were doing the best possible
[55:02.92]  like writeups and all these things but
[55:04.36]  like the dog fooding piece it just I
[55:06.36]  didn't come from a a product background
[55:08.28]  I was a marketer and I hadn't even I
[55:10.32]  didn't really understand the term dog
[55:12.04]  fooding but when I when we thought we
[55:14.20]  had a conversation we were like you know
[55:15.52]  what if we had just tested that we would
[55:17.36]  have all known that this was a super
[55:18.88]  lame badge and I was like why are we not
[55:21.56]  testing our experiments and so like that
[55:23.76]  became part of our our practice it's
[55:26.20]  still relevant I I just had a
[55:27.72]  conversation yesterday with engineers at
[55:29.20]  Latitude I I I haven't explained what we
[55:31.44]  built yet where we're building yet maybe
[55:33.08]  we'll get there but I was talking
[55:34.48]  yesterday to years at latitude and
[55:35.84]  they're awesome like in terms of product
[55:38.04]  team we have like the number eight
[55:39.72]  employee at newbank he might have heard
[55:41.44]  of new bank but it's this like massive
[55:43.44]  banking like fintech in Latin America
[55:46.56]  and and we have people from like other
[55:48.20]  fintechs and then we have this guy who
[55:49.48]  was a lead PM ATO and I was explaining
[55:52.16]  to them why we should be dog fooding and
[55:53.84]  they were all like oh yeah we should dog
[55:55.80]  food it's just like easy to forget stuff
[55:57.40]  like that so so that was a mistake that
[55:59.92]  you know we could have probably gotten
[56:01.08]  to the growth that we got to with badges
[56:02.64]  much early earlier on and not only did
[56:05.00]  we get to growth with badges but it
[56:06.44]  became like this amazing Treasure Trove
[56:08.20]  of opportunity because once you have
[56:10.56]  badges and people want them you can now
[56:12.80]  ask people to do anything like go find
[56:15.20]  friends go buy things like you know
[56:18.68]  whatever it is and so like we we had we
[56:21.24]  impacted almost all metrics across the
[56:23.72]  company positively including some we
[56:26.12]  hadn't expected but it's like easy to
[56:28.64]  talk about a mistake that ended up being
[56:30.04]  a win so that's why I compared it to the
[56:32.32]  interview thing in the beginning but you
[56:34.40]  know we we tried making dual lingo a
[56:36.40]  social app really early on and failed um
[56:38.68]  it was called D duels dual duels like
[56:41.32]  you could duel you know very clever yeah
[56:43.96]  I know we were we were clever but people
[56:46.20]  didn't use it and we didn't figure out
[56:47.76]  why we we tried making a dual lingo for
[56:50.24]  schools platform like we couldn't get it
[56:51.96]  to pick up I went and launched dual
[56:53.96]  lingo in China and it got downloaded by
[56:56.16]  a million people in the first day and
[56:58.28]  then the app got blocked and I we you
[57:00.32]  know because of the government and then
[57:02.12]  we couldn't figure out what to do and
[57:03.72]  then everyone rated the app like one
[57:06.32]  star because it didn't work and so then
[57:08.20]  we had a really like a lot of trouble
[57:10.28]  actually recovering from that we
[57:12.04]  launched dualingo in India and didn't
[57:14.60]  realize because we couldn't have unless
[57:16.36]  we went there which we finally did that
[57:18.12]  most people set their phones phone UI in
[57:20.60]  India to English because typing in Hindi
[57:23.48]  is hard and of course there's a lot of
[57:24.84]  languages throughout India and we were
[57:27.20]  making it so that when you downloaded
[57:28.80]  dualingo whatever UI you open your app
[57:32.00]  your your phone was set to we offered
[57:33.76]  not that language for you to learn that
[57:35.24]  was your base language so we were
[57:36.48]  telling people learn French Spanish
[57:38.44]  German from English and they were all
[57:39.96]  trying to learn English so they didn't
[57:43.04]  find what they were looking for and they
[57:44.24]  left um there were so many mistakes you
[57:46.76]  know and luckily I think we were able to
[57:49.04]  to bounce back from most of them in
[57:50.96]  terms of how dueling was doing today and
[57:53.52]  our final story is from from Maggie
[57:55.36]  Crowley VP a product at toast and one of
[57:58.04]  the most beloved episodes of the podcast
[58:00.64]  this is Maggie sharing something a
[58:02.12]  little bit different her favorite
[58:03.92]  interview question about failure and
[58:06.00]  what it tells you about the person
[58:07.20]  you're interviewing plus a story of her
[58:09.32]  own product failure here's mag a
[58:12.60]  question I ask in every product
[58:13.96]  interview is uh what's the worst product
[58:16.00]  you ever
[58:16.84]  shipped and that's because I I don't
[58:20.52]  think you're a good PM if you haven't
[58:21.72]  shipped something that's really shitty
[58:23.52]  like you just haven't had enough you
[58:25.12]  haven't done in enough time like and if
[58:27.48]  and it's not only that you've done it
[58:28.76]  but that you can admit it and you know
[58:30.20]  which one it is like that's so important
[58:33.44]  and I
[58:35.04]  remember what this is so dumb I can't
[58:37.64]  I'm still so mad about this that we did
[58:40.20]  this it was I won't name which team
[58:42.80]  which company I'm not going to call that
[58:44.08]  out but we wanted we decided we needed
[58:46.16]  to do a rewrite red flag number one of a
[58:49.60]  existing product and you know engineer
[58:51.84]  who I'd worked with many times we had a
[58:53.48]  really good relationship and and this
[58:55.36]  person was like yeah yeah it's going to
[58:57.04]  take six months like no problem core
[58:59.76]  part of the product been around for
[59:01.48]  forever like one of those things that
[59:03.48]  the code is still is still the code
[59:05.08]  written by the founders kind of thing it
[59:07.64]  didn't take six months it took two and a
[59:09.48]  half years it still wasn't done it
[59:12.00]  almost never like it went on for so much
[59:15.20]  longer than it should have it took us
[59:16.48]  forever to get to Future parody it was
[59:18.80]  the worst project like so many people
[59:20.84]  rotated in and out of it everyone
[59:22.28]  thought it was dumb like sunk cost Val
[59:26.00]  just the worst and it's because a we got
[59:30.56]  arrogant and we thought we could do it B
[59:33.00]  we skipped Discovery we didn't really
[59:35.68]  write a one pager we just went for it we
[59:38.52]  didn't do enough Technical and design
[59:40.16]  Research into what the requirements
[59:41.48]  would actually have to
[59:43.28]  be and there you have it and it did not
[59:46.32]  work out or was it a huge success in the
[59:47.72]  end and it change the trajectory of the
[59:49.92]  business absolutely not but you know
[59:52.04]  what I didn't get fired so like it's
[59:54.00]  fine I feel like I've gone through those
[59:55.72]  experiences and then like 3 four years
[59:57.48]  later it's like another maybe this
[59:59.32]  rewrite and redesign may work because
[60:01.68]  just we haven't updated this thing in a
[60:03.28]  long time just don't do it don't rewrite
[60:05.44]  if anyone ever tells you to do a rewrite
[60:07.08]  don't do it a side bys side rewrite nope
[60:11.08]  yeah I've never had a like what I run
[60:12.96]  into is once you get too far down a
[60:14.60]  redesign SL rewrite everyone's building
[60:16.92]  in that new world and then you launch it
[60:18.16]  and the experiment negative and then
[60:19.20]  it's just like oh we just got to launch
[60:21.00]  it we're going to claw back we're going
[60:22.04]  to get figure out how to get back to
[60:23.88]  neutral so day yeah yeah yeah don't do
[60:27.56]  that good
[60:28.64]  times and that is a wrap I hope you
[60:32.08]  enjoy these stories of failure I want to
[60:34.28]  give a huge special thank you to all of
[60:36.36]  our amazing guests for being vulnerable
[60:38.60]  and sharing these stories of failure in
[60:40.52]  their career I hope you leave this
[60:42.28]  episode with a new perspective on how
[60:44.24]  setbacks and challenges and failure can
[60:46.52]  often be exactly what you need to get to
[60:48.88]  the next step of your career or your
[60:50.92]  life if you've got a great story to tell
[60:53.40]  about failure I'd love to hear it leave
[60:55.32]  a comment either on YouTube or on Lenny
[60:58.12]  newsletter. or just DM me on Twitter or
[61:00.92]  you could reach out at Lenny ritz.com
[61:02.60]  and click the big contact button thank
[61:05.80]  you for listening bye
[61:10.44]  everyone
