Title     : How Anthropic, Costco, and Patagonia all build incorruptible companies  | Eric Ries
Video ID  : PoJ1vTdHpks
[43:05.12]  was. And I remember he told me the story
[43:07.12]  one day, you know, his executives and
[43:09.28]  employees started coming into his
[43:10.48]  office. And they'd be like, you know,
[43:11.60]  boss, we need to make the quarter. We
[43:13.12]  need to make more money. We're public
[43:14.24]  company now.
[43:16.96]  We don't want to be better than one
[43:18.08]  email.
[43:19.68]  Have you considered two emails? And he
[43:22.40]  was like, no, one email a day is like
[43:24.24]  that's our whole thing. But he said over
[43:25.68]  time they ground him down and they kept
[43:27.20]  saying they were using language that
[43:28.64]  sounds kind of lean startupy shouldn't
[43:30.32]  we do an experiment shouldn't we look at
[43:32.24]  the data what about the IR like it's
[43:34.24]  just like what about the ROI and so he
[43:36.40]  was like all right fine we'll run the
[43:37.52]  experiment he ran the experiment two
[43:39.68]  emails a day makes more money so he
[43:42.24]  couldn't he couldn't say no and
[43:43.76]  everything was fine for several months
[43:45.12]  until someone came into his office and
[43:46.24]  said you know boss you know it would be
[43:47.28]  better than two email
[43:49.44]  you should send three emails and next
[43:51.20]  thing you know they're sending eight
[43:52.16]  emails and this is not just group on I
[43:53.76]  have had so many CEOs tell me this exact
[43:56.56]  story about email frequency. Email
[43:58.48]  frequency is like for some reason the
[43:59.92]  tip of the spear where it's like we we
[44:02.56]  don't really have any way to defend
[44:04.88]  doing the right thing here. So we do the
[44:07.28]  wrong thing that destroyed the whole
[44:10.08]  company. But in the short term we made a
[44:12.80]  bunch of money. So if you can stick to
[44:14.72]  the harder is easier principle that is
[44:16.56]  the first line of defense against losing
[44:18.88]  whatever it is that makes a company
[44:20.48]  special.
[44:21.44]  >> Eric, you're such a wonderful
[44:22.96]  storyteller. I'm just like sitting here
[44:25.04]  just
[44:26.56]  compelled.
[44:27.60]  >> Well, thank you.
[44:28.24]  >> Oh, man. I am so excited to tell you
[44:30.56]  about this season's supporting sponsor,
[44:32.72]  Vanta. Vanta helps over 15,000 companies
[44:36.32]  like Cursor, Ramp, Dualingo, Snowflake,
[44:39.68]  and Atlassian earn and prove trust with
[44:42.48]  their customers. Teams are building and
[44:44.56]  shipping products faster than ever
[44:46.08]  thanks to AI. But as a result, the
[44:48.16]  amount of risk being introduced into
[44:50.08]  your product and your business is higher
[44:52.16]  than it's ever been. Every security
[44:54.40]  leader that I talk to is feeling the
[44:56.32]  increasing weight of protecting their
[44:58.72]  organization, their business, and not to
[45:00.96]  mention their customer data. Because
[45:02.88]  things are moving so fast, they are
[45:04.72]  constantly reacting, having to guess at
[45:07.04]  priorities, and having to make do with
[45:08.80]  outdated solutions. Vanta automates
[45:11.20]  compliance and risk management with over
[45:13.52]  35 security and privacy frameworks
[45:16.16]  including SOCK 2, ISO 27,0001 and HIPPA.
[45:20.00]  This helps companies get compliant fast
[45:22.24]  and stay compliant more than ever
[45:24.40]  before. Trust has the power to make or
[45:26.64]  break your business. Learn [music] more
[45:28.32]  at vanta.com/lenny.
[45:30.64]  And as a listener of this podcast, you
[45:32.32]  get $1,000 off Vanta. That's
[45:34.96]  vanta.com/lenny.
[45:37.28]  I want to talk through just like what do
[45:38.72]  you do? So there's write a mission
[45:40.32]  statement. Values is that a part of this
[45:42.80]  just define your values. Talk about like
[45:44.40]  the
[45:44.48]  >> bullet point. So again, no writing the
[45:46.88]  statement is not valuable. Okay. The
[45:49.84]  statement is not what it is. The reason
[45:51.20]  I would use the oldfashioned word ethos.
[45:52.96]  I tried to write this whole book without
[45:54.24]  using any trendy consulting language at
[45:56.00]  all. So I try not to use the word
[45:57.60]  stakeholder. I try not to use the word
[45:59.20]  culture. I tried to really go
[46:02.16]  old-fashioned. That's why I started with
[46:04.08]  Saul Price. Rather than talk about
[46:06.24]  stakeholders and mission statement and
[46:07.84]  values, I want to know who are your
[46:10.24]  fiduciaries.
[46:11.92]  It's like a real oldfashioned word
[46:13.36]  fiduciary. But to me, the question every
[46:16.64]  leader has to answer and this is every
[46:18.24]  product has to answer this question.
[46:20.24]  What is its purpose? Who would you
[46:22.80]  rather die than betray?
[46:26.24]  Okay. So if you tell me I want to have a
[46:29.04]  high quality product, that's what I
[46:31.36]  would rather die than ship slot. Like
[46:32.88]  think about how Steve Jobs was like he
[46:34.32]  was this is a guy who would fight with
[46:35.60]  people over the layout of the wires
[46:38.08]  inside a computer he didn't want
[46:39.76]  customers to be allowed to open and ever
[46:41.60]  see. That's so classic. Harder is
[46:43.84]  easier, right? Just it has to be a
[46:45.76]  certain way. If you know stories about
[46:47.36]  Ivon Shannard, the founder of Patagonia
[46:49.68]  today, he's more famous for his
[46:51.04]  environmental activism, but he was a
[46:53.04]  quality zealot. He believed that quality
[46:55.84]  was an objective function and that every
[46:58.16]  product had a quality level that it
[47:00.00]  deserved. Most people think that's
[47:01.44]  insane.
[47:02.88]  That's why Patagonia is such a success.
[47:04.64]  That idea is powerful. So whatever that
[47:07.28]  thing is, that purpose, we have to find
[47:09.84]  ways to encode it in our like management
[47:13.12]  system so that there's no way for us to
[47:15.60]  make money by betraying the principle,
[47:17.92]  whatever it is. So this can happen both
[47:20.96]  like at the operational level and at the
[47:23.04]  governance level. Both both are really
[47:24.64]  important. people hearing this, I know
[47:26.72]  some people are going to be like,
[47:27.44]  "Purpose? Is this some ESG nonsense?"
[47:30.24]  Like, okay, there's a very funny quote
[47:33.04]  in the book. Um, Unilver, the big food
[47:35.76]  giant, we went through a phase a couple
[47:37.36]  years ago where they were going to
[47:38.40]  infuse purpose into all of their
[47:40.08]  products. And a Wall Street investor was
[47:42.64]  just like, I've had it with this, wrote
[47:44.40]  this wrote them a nasty letter was like,
[47:45.84]  look at the point that we're debating
[47:46.96]  the purpose of Helman's mayonnaise, I
[47:49.36]  think you've lost the plot. And I love
[47:51.52]  that quote because it's funny, but
[47:53.12]  actually what's so funny about it to me
[47:54.88]  is humble though it is, Helman's
[47:57.68]  mayonnaise is food. Its purpose is super
[48:01.04]  clear. And again, if you think it
[48:02.72]  doesn't matter what the product manager
[48:04.24]  who runs Helman's Manise thinks the
[48:06.24]  purpose is, going back to our Vital
[48:08.08]  Farms question, like think how easy it
[48:10.32]  would be when an efficiency consultant
[48:11.76]  shows up and says, you know, I think we
[48:12.96]  could save 3 cents on the bill of
[48:14.48]  materials if you just make the pro the
[48:16.00]  thing carcinogenic.
[48:18.64]  And you're like, "Oh, that's wouldn't
[48:19.92]  that come back to bite us?" Yeah, but
[48:21.36]  long after your stock options are
[48:22.72]  vested, buddy. What do you care? If the
[48:25.44]  product manager thinks their purpose is
[48:27.20]  quality, that matters. If they think
[48:28.96]  their purpose is extraction and
[48:30.32]  exploitation, it matters. Again, if you
[48:32.16]  think I'm exaggerating, the product
[48:34.00]  managers at Johnson and Johnson put
[48:36.56]  asbestos in the baby powder and covered
[48:40.00]  it up because although they said their
[48:42.72]  purpose, their mission statement was
[48:44.56]  patient health, their actual mission had
[48:47.12]  become growth, optimization, quarterly
[48:50.08]  targets. So, what we want to do is
[48:52.00]  that's the first most important
[48:53.36]  technique is like what is the purpose?
[48:55.36]  Who would we rather die than betray?
[48:56.80]  Like you got to write it down. You got
[48:58.32]  to say, as Saul Price did, customers
[49:00.40]  first, employees second, shareholders
[49:02.08]  last. Or uh the great Peter Ducker said
[49:04.32]  it would actually he said that that's
[49:05.60]  backwards. It should be employees first,
[49:07.28]  customers second, shareholders last. I
[49:08.80]  don't care. You tell me what you
[49:11.44]  believe. You got to write it down. And
[49:13.84]  then we have to do a a thing I call
[49:16.24]  mission drive. Companies that claim to
[49:18.56]  be missiondriven, most of them are just
[49:19.92]  mission hopeful. Okay? It's it's
[49:22.16]   It's just a candy coating on
[49:24.16]  top of an extractive engine. Sorry, I
[49:26.56]  don't buy it. If you're serious about
[49:28.48]  being missiondriven, you have to show me
[49:30.56]  that you cannot profit except by
[49:33.68]  achieving the mission. That's the audit
[49:35.44]  we have to do. We have to look at if we
[49:37.68]  were if someone in the company got
[49:39.20]  tempted to cut quality, to cut corners,
[49:43.12]  to to decrease performance, to deal with
[49:45.28]  like the things that tend to get cut
[49:46.56]  first, safety, performance, quality,
[49:48.40]  design, those are always the most
[49:50.16]  vulnerable. Innovation, I guess, is
[49:51.44]  fifth. So that's like the fi the five
[49:52.96]  horsemen of the apocalypse is like you
[49:55.52]  can get rid of those things and nothing
[49:57.28]  bad happens right away because the whole
[49:59.92]  point of trust is I can betray you and
[50:01.76]  you wouldn't even notice. So we have
[50:04.00]  those are like the canary in the coal
[50:05.28]  mine. Is there any way is anyone's bonus
[50:07.68]  target is our OKR system. Is there
[50:09.44]  anyone on this team and again you could
[50:11.20]  do this at the company level of course
[50:12.64]  but you're just a team a team of five.
[50:14.88]  Is there anyone on this team who could
[50:16.64]  profit by portraying one of our
[50:18.64]  principles? Is it is it possible? And
[50:21.52]  you mean it's really possible that and
[50:23.12]  this is actually why automated testing
[50:24.48]  is so good, right? Like think about how
[50:26.32]  many people can just like break the
[50:27.60]  design. No one even notices. Well, it's
[50:29.20]  a test notice. With with AI, we have so
[50:32.00]  many new capabilities for auditing, for
[50:34.48]  preventing, for making sure, but we have
[50:36.08]  to choose to use the tools for that.
[50:38.96]  That's one. So that's kind of like the
[50:40.32]  general like category of things um that
[50:43.12]  we can build.
[50:44.00]  >> And so just to just to make sure it's
[50:46.48]  clear. So it's write down your purpose,
[50:48.72]  whatever that is. And I imagine it's
[50:50.64]  like a sentence is the idea.
[50:52.08]  >> Yeah, that'd be great. As simple as
[50:53.84]  better, right? Like to make a better
[50:54.88]  internet is such a great such a great
[50:56.32]  purpose. I tell in the story in the book
[50:57.84]  the story of devoted health. They're a
[50:59.68]  health insurance company, but their
[51:00.96]  instruction to their employees is to
[51:02.48]  treat every customer the way you would
[51:03.84]  your own parents.
[51:05.36]  >> I've heard that one.
[51:06.16]  >> It's just so easy and simple and clear
[51:08.16]  to understand.
[51:09.68]  >> Okay. So, let's write down your purpose.
[51:11.84]  Uh describe your mission and more
[51:13.92]  importantly
[51:15.60]  the mission. What is it? Drive the
[51:17.04]  mission or the mission.
[51:17.68]  >> Mission drive. Mission drive.
[51:19.28]  which basically uh is is there like a
[51:22.24]  structural way to do this or is this
[51:23.52]  just go through everything going on and
[51:25.28]  see is there
[51:26.88]  >> it is I mean I I talk about it in a more
[51:28.72]  formal way in the book but basically I
[51:30.48]  would say that it is to identify your
[51:32.56]  fiduciary commitments like who are the
[51:34.80]  people that you're trying to commit to
[51:37.52]  do something good for what are the
[51:39.68]  metrics or targets that you want to have
[51:41.92]  for each of those people and then um
[51:44.72]  what is the system the accountability
[51:46.40]  system to make sure that those
[51:48.24]  commitments are as important to you as
[51:50.16]  making money.
[51:50.96]  >> So, it's essentially these kind of like
[51:52.24]  OKRs for your your stake. Let's not call
[51:55.28]  them stakeholders.
[51:56.08]  >> Yeah, that's what I see how hard it is
[51:57.68]  to do this. Yeah, that's exactly right.
[51:59.20]  It's like OKRs for the And I and I just
[52:00.96]  again people always when we start using
[52:03.04]  this language, people are like, you're
[52:04.08]  trying to impose your values on me. No,
[52:05.84]  you tell me what you care about and then
[52:07.84]  you tell me how you're measuring the
[52:09.68]  things you claim to care about. In in
[52:12.24]  the book, I have a section called don't
[52:13.76]  be evil versus the quarterly report. I I
[52:17.44]  made a study of the blog posts that
[52:20.08]  longtime Google employees write when
[52:21.84]  they leave Google. It's like a genre.
[52:23.84]  There's 50 of them. They're incredible
[52:26.48]  documents actually. If you've never read
[52:27.84]  them or all linked in the book, you can
[52:29.28]  you can read them yourself. And they all
[52:31.44]  have this like very wistful sad quality
[52:33.92]  to them because something really listen
[52:36.40]  for the record, Google's a great
[52:37.44]  company. I'm not saying Google's bad,
[52:38.96]  but Google used to have this don't be
[52:40.72]  evil ethos and it kind of got lost. Got
[52:43.04]  taken off the website. Then it showed up
[52:44.64]  in the employee handbook. Now, it's not
[52:46.00]  even in the employee handbook anymore.
[52:47.92]  And in fact, Google's been sued twice
[52:49.68]  now for breaking the don't be evil
[52:51.36]  pledge. And they've had to settle both
[52:52.64]  lawsuits. Okay? That that's how sad the
[52:54.40]  situation has become at Google. And I
[52:56.88]  remember talking to one of these
[52:57.76]  ex-goolers. He'd been there, I think, 13
[52:59.60]  years. And I said to him, look, he could
[53:03.20]  not, he was like, why did we lose it
[53:05.28]  when we had such good intentions? Why? I
[53:08.00]  wanted to believe management. He's like,
[53:09.52]  I liked management. I thought they were
[53:11.04]  had their heart in the right place. And
[53:13.52]  yet I said, "Okay, answer me this
[53:15.44]  hypothetical just real quick. What is
[53:17.84]  the probability that Google will file
[53:19.44]  its next quarterly report on time?" He
[53:22.64]  was like, "That's a dumb question, Eric.
[53:24.00]  Obviously, they're going to do it." I
[53:24.80]  was like, "No, but give it a number
[53:26.16]  probability." He's like, "Literally
[53:29.04]  100.0." Yes. As certain as the sun will
[53:31.92]  rise tomorrow, of course. I said,
[53:34.00]  "Great. Now tell me the probability that
[53:36.56]  um Google might accidentally kill
[53:38.32]  somebody and cover it up." And he was
[53:41.12]  like, "Come on, man. They probably
[53:42.40]  wouldn't do that. That's not fair.
[53:45.52]  Put a number on it. Is it 100%. He's
[53:47.76]  like, "Well, like 90%." 95%. I was like,
[53:51.52]  and he start You could He was like,
[53:52.40]  "Well, they got sued for this." He's
[53:54.00]  like, "What if the self-driving car hit
[53:55.52]  somebody?" He could He could already
[53:57.84]  think of the way it could happen. I
[53:59.36]  said, "Okay, how can it be
[54:02.64]  that quarterly reporting is like the
[54:05.60]  thing that we're sure of?" And this and
[54:08.08]  manslaughter. We think our human beings
[54:09.92]  like confused. They love quarterly
[54:11.60]  reports and they're not sure about
[54:12.72]  manslaughter. No. Come on. What is going
[54:15.60]  on here? Google will report its
[54:17.68]  quarterly report on time because there
[54:19.20]  is a massive, unbelievably expensive
[54:22.08]  apparatus to make sure it happens every
[54:25.68]  time. And don't be evil was just a
[54:28.08]  slogan. So if someone tells you, I'm
[54:31.36]  serious about something, great. Now show
[54:34.40]  me the apparatus. Show me the
[54:36.32]  commitments you've made to make sure
[54:38.16]  that happens every time. No exceptions.
[54:40.00]  And if you don't have one, then they are
[54:42.56]  lying to you no matter how good their
[54:45.60]  intentions are.
[54:46.56]  >> And this might be a good segue to kind
[54:48.08]  of the second bucket of stuff. So the
[54:49.52]  way you described it earlier, I think is
[54:50.96]  a really helpful way of framing it.
[54:52.32]  There's kind of the ethos, which is what
[54:54.32]  we've been talking about, values,
[54:55.68]  purpose, mission, and then there's
[54:57.60]  integrity. So talk about that. Sure. So
[55:00.24]  why did I use the word integrity? In
[55:02.32]  human lang in normal human language, not
[55:04.16]  consultant speak, but like among normal
[55:05.76]  people, integrity has two meanings. One
[55:07.84]  is like Lenny, you're a very high
[55:08.96]  integrity person. If you say you're
[55:10.24]  going to meet me at 2 o'clock at a
[55:11.44]  place, like I know you're going to be
[55:12.56]  there, right? Everyone's got a friend
[55:13.68]  like that where if they say they're
[55:14.80]  going to do something, they're going to
[55:15.76]  do it. And more importantly, if they're
[55:17.60]  not sure, if they're like, I think I can
[55:19.52]  be there at 2 o'clock. They never would
[55:21.12]  say, I'll see you at 2:00. They won't do
[55:23.12]  it. They know that to tell the truth
[55:24.80]  requires you to really make a
[55:25.92]  commitment. But we also, so that's kind
[55:28.08]  of like the ability to keep your
[55:29.12]  promise. But we also have the word
[55:30.64]  structural integrity, right? I told him
[55:32.16]  before like the difference between
[55:33.20]  corroded bolts and stainless steel
[55:35.92]  organizations these two senses of the
[55:38.56]  word become one. An organization that is
[55:41.20]  weak cannot keep its promises because
[55:44.96]  the person making the promise won't be
[55:46.88]  there. Imagine you got a promise from
[55:49.20]  the founders of Vectura that they'll
[55:51.20]  never sell cigarettes to children. Oops.
[55:53.68]  Sorry. Right. No, that's not integrity.
[55:56.88]  So the goal of of structural integrity
[55:59.28]  for an organization is to give it the
[56:01.36]  power to resist temptation from the
[56:02.88]  inside, resist betrayal at the board
[56:05.28]  level and resist pressure from the
[56:06.88]  outside. As I mentioned, Costco has very
[56:08.64]  famously has this governance fortress
[56:10.80]  that protects it from outside pressure.
[56:13.20]  And people have come for Costco. I quote
[56:16.24]  some hilarious quotes in the book about
[56:18.72]  um one of my favorites is Costco takes
[56:20.72]  money that rightfully belongs to
[56:23.44]  shareholders and instead invest it in
[56:26.48]  improving the customer experience.
[56:29.04]  That's meant to be a criticism. Okay,
[56:30.96]  that's not what they're supposed to do.
[56:32.32]  So why can they resist? Because they
[56:34.64]  have the tools they need to fight back.
[56:37.20]  Their board sees its responsibility as a
[56:39.44]  bull work against pressure rather than
[56:41.44]  as an amplifier of financial gravity. So
[56:44.64]  that can sound very challenging and
[56:46.40]  abstract and now we're talking about
[56:47.52]  board level stuff, IPOs. People a lot of
[56:49.36]  people are like, I don't have the power
[56:50.48]  for that. Okay, that's okay. We can
[56:52.80]  start with something very simple. We
[56:54.00]  started with purpose and ethos. We can
[56:55.60]  start with purpose here too. I mentioned
[56:58.32]  before that most founders have never
[57:00.08]  read their own corporate charter,
[57:02.48]  which if you're if you're a founder and
[57:04.08]  you're listening to this and you've
[57:04.96]  never read your own corporate charter,
[57:06.16]  you have a company that is operating, it
[57:07.60]  is your homework. You have to do this.
[57:09.20]  You have to know what it says. This is
[57:10.88]  so common that the HBO show Silicon
[57:12.80]  Valley makes a joke about it where one
[57:14.80]  of the found one of the investors is
[57:16.16]  like upgrading the founder to be like
[57:17.84]  you don't know how your own effing
[57:18.80]  company works because he loses control
[57:20.16]  of it in so like they did their
[57:22.48]  homework. This really does happen. But
[57:25.12]  if you do read your charter, you
[57:27.28]  probably will be more confused than you
[57:29.04]  are now because you will read a sentence
[57:31.04]  like this. It will say the Acme
[57:33.92]  Corporation is hereby incorporated to
[57:36.40]  pursue any lawful act or activity.
[57:39.84]  And you read that and you're like, "That
[57:41.60]  sounds pretty open-ended." Wrong.
[57:45.04]  It sounds open-ended, but it's not.
[57:47.28]  Unfortunately, we live in the era of
[57:48.80]  what's called shareholder primacy.
[57:51.44]  Meaning that according to this theory,
[57:53.52]  which is the governing theory of our
[57:55.68]  lives that we live under this law today,
[57:57.68]  right now, this says that an
[57:59.36]  organization is not a vital living
[58:01.92]  thing. Rather, it is a financial
[58:04.00]  instrument designed to enrich
[58:05.36]  shareholders and nothing else. And
[58:08.16]  therefore, any lawful act or activity
[58:10.32]  today means maximize shareholder returns
[58:12.48]  under the law.
[58:14.56]  People have been raised, now we're old
[58:16.40]  enough, this idea is old enough that we
[58:17.68]  now have a generation of people who have
[58:18.80]  been raised as if this was a natural
[58:20.32]  law. This is how capitalism has always
[58:22.08]  been. But that's wrong.
[58:24.40]  For the vast majority of the time, for
[58:26.32]  hundreds of years, we have had joint
[58:27.60]  stock corporations. Only the last 40
[58:30.08]  have we had this idea. Before the 80s,
[58:33.28]  it was considered obvious. Our
[58:34.72]  grandparents thought it was obvious. Our
[58:36.56]  great-grandparents thought it was
[58:37.76]  obvious. Like Adam Smith thought it was
[58:40.32]  obvious. Everyone before thought it was
[58:42.08]  obvious that corporations existed to
[58:43.92]  pursue a specific thing, what's called a
[58:46.32]  beneficial purpose in the law. So in the
[58:49.28]  19th century, for example, if you wanted
[58:51.04]  to make a company, you had to make a
[58:52.80]  declaration to your state legislature
[58:56.08]  that this thing you wanted to make would
[58:59.20]  do something that is publicly
[59:00.48]  beneficial. You'd be like, I want to
[59:01.92]  make a railroad. They'd be like, why?
[59:04.48]  Right? And you had to say it would be
[59:05.84]  beneficial to the public to have a canal
[59:07.92]  between this place and that place. And
[59:09.60]  just to get a sense of how different our
[59:11.52]  best practices are than the historical
[59:13.36]  norms in the 19th century, if say you
[59:15.60]  were the richest person in America and
[59:17.12]  you're like, I want to buy this company
[59:18.48]  and change what it does because I can.
[59:20.72]  First of all, the board would be
[59:22.64]  authorized to fight you to the death.
[59:25.04]  They didn't have to say yes. They would
[59:26.80]  do crazy stuff in the night. These
[59:28.80]  battles were legendary. Some of them are
[59:30.72]  hilarious what would go on between these
[59:32.64]  people. But the second thing, let's say
[59:34.24]  you succeeded anyway. You took the
[59:36.08]  company over and you said, "I'm going to
[59:37.20]  change its purpose from make a railroad
[59:39.92]  to maximize shareholder value." That
[59:42.96]  would have been a crime.
[59:45.28]  The courts would void your charter. You
[59:47.20]  would earn the corporate death penalty
[59:48.88]  for having exceeded the authority of
[59:50.80]  your corporation. So, this is a new idea
[59:54.00]  that we live under. We think it's
[59:55.28]  natural, but it's very new. So, if you
[59:58.56]  don't want that, like that's what and
[59:59.92]  that's what doomed Vector and all these
[60:01.52]  companies. If you don't want that, you
[60:03.84]  can change it. The good news for you
[60:05.44]  listening right now in the year 2026 is
[60:07.52]  that a band of corporate governance
[60:09.04]  rebels have spent the last like 15 or 20
[60:11.60]  years fighting this and building
[60:13.84]  alternative structures that are
[60:14.96]  available to you. One of them is called
[60:17.12]  the public benefit corporation or PBC. A
[60:20.40]  lot of confusion about this out there
[60:21.84]  because people have seen the little B
[60:23.12]  with a circle on it at their farmers
[60:24.72]  market. It's not that. It's confusing
[60:26.48]  because the same people invented that
[60:28.16]  who also invented this and the word B,
[60:30.16]  the letter B is in both. So, I get it's
[60:31.92]  confusing, but no, public benefit court
[60:34.48]  is the easiest thing I will tell you to
[60:36.16]  do on this whole podcast. Could not be
[60:38.16]  easier. It is a two-page legal filing
[60:40.96]  that you just sub your lawyers can
[60:42.56]  submit it for you in Delaware tomorrow.
[60:44.16]  You just say, "This is the purpose of
[60:45.84]  this company, not any lawful act or
[60:47.84]  purpose." Instead, no, this is a company
[60:49.68]  designed to advance human flourishing by
[60:51.44]  creating safe and responsible AI
[60:53.20]  systems. We advance human flourishing by
[60:55.20]  creating high quality products and
[60:56.40]  selling them. Whatever Whatever you do,
[60:57.68]  just write it down. It's couldn't it
[60:59.36]  couldn't be any easier. And most of the
[61:02.72]  best companies today are using this
[61:05.20]  structure. Like all the major AI labs
[61:06.88]  are incorporated as BBC's. Anthropic
[61:09.04]  most famously of all. It doesn't
[61:10.88]  guarantee that you're the good guys.
[61:12.32]  Okay? Just writing it down doesn't do
[61:14.00]  that much. But it does solve one very
[61:16.64]  specific problem, which is if someone
[61:18.00]  one day sues you saying you breached
[61:19.68]  your fiduciary duty to investors, you
[61:21.12]  could say, "Nope, investors agreed that
[61:23.12]  this is our purpose to do this thing.
[61:24.80]  Why has Anthropic been able to resist
[61:26.96]  all this pressure? This is one of
[61:28.72]  several of the interlocking components
[61:30.32]  of the armor that protects anthropic
[61:32.80]  from the from outside pressure. If you
[61:34.16]  don't do this, I can't help you, man.
[61:36.48]  This is like the very minimum. You got
[61:37.84]  to do at least this. Now, if you're not
[61:39.12]  at the founder, you probably are
[61:41.44]  wondering, have we done this at my
[61:42.96]  company?
[61:44.80]  This is going to sound so dumb, I know,
[61:46.40]  but you can just ask.
[61:50.16]  Okay? Even if you're in a job interview.
[61:51.92]  I remember someone once came to me and
[61:53.04]  asked me for advice. They wanted to
[61:54.40]  advocate for these ideas, but they were
[61:55.84]  like, I need a job. I don't even work
[61:57.28]  anywhere yet. And they were like caveat.
[61:59.36]  I was about to give them some advice and
[62:00.56]  before you give me your advice, you need
[62:01.68]  to know that I'm not courageous.
[62:04.00]  Okay. So, like I can't do anything
[62:06.24]  scary. I'm not willing to be an
[62:08.40]  activist. Like I just need a job, man.
[62:10.32]  But I am willing to do something. But I
[62:11.92]  felt like they'd asked me for a no bake
[62:13.36]  cookie recipe, you know? I was like a no
[62:15.36]  courage. What can I do? And I was like,
[62:18.08]  okay. And you can do this if you're in a
[62:19.68]  job interview or just ask your boss.
[62:21.60]  Either way. that at the end of your
[62:24.00]  interview, we're going to ask you, do
[62:25.36]  you have any other questions? You can
[62:27.68]  say, "Is this a mission-driven company?"
[62:31.92]  They're going to say, "Yes."
[62:34.00]  Okay, fine. How do you know? Like, like,
[62:36.80]  "What kind of things do we do that's
[62:37.76]  mission driven?" They be, "Oh, we have
[62:38.88]  free beer on Fridays and we we clean up
[62:41.36]  the local park on Saturdays." I don't
[62:42.56]  know what they're going to say. Maybe
[62:43.68]  something great. Maybe something
[62:44.96]  whatever they say, just just nod and be
[62:46.48]  like, "Great." And just ask, "Cool. Is
[62:49.76]  that the legal mission?" Also, is that
[62:53.04]  in the charter?
[62:55.44]  Almost certainly the person you're
[62:56.80]  asking this question to is not going to
[62:58.08]  know the answer to your question. But
[62:59.84]  it's a legitimate question because if
[63:01.60]  you're working at a company that doesn't
[63:02.80]  have this in the charter, you're going
[63:04.08]  to be betrayed eventually. You deserve
[63:06.40]  to know. But more importantly, just by
[63:10.08]  asking, you've now forced them to get
[63:12.32]  the answer. Like you, you know, I mean,
[63:14.64]  you've been in part of of hiring
[63:15.84]  processes. Every hiring process at a
[63:17.76]  well-run company, it's somebody's job to
[63:19.60]  make sure every question a candidate
[63:21.04]  might ask, there's a like frequently
[63:22.48]  asked questions document with the
[63:23.76]  answer. So, she's going to have to ask
[63:25.76]  her boss, who's going to have to ask out
[63:27.60]  her boss and her boss, like I've been in
[63:29.92]  boardrooms where this kind of thing
[63:31.84]  comes up where someone's like, "We're
[63:34.08]  getting this really irritating question
[63:35.92]  from candidates and we don't know how to
[63:37.52]  answer it." Now, maybe just by asking,
[63:40.40]  the CEO also listens to Lenny because
[63:42.80]  everyone listens to Lenny. The CEO's
[63:45.20]  also been thinking about doing it too.
[63:46.56]  But he was like, I don't know if I have
[63:47.68]  the support of the board. I'm not really
[63:49.12]  that courageous to bring it up. Now
[63:50.64]  you've created an excuse. A we got to do
[63:53.12]  it because I mean it's the thing that
[63:54.40]  everyone's doing it. Employees are even
[63:56.40]  starting to ask about it. Like if you
[63:58.56]  read these postmortems of some of these
[64:00.00]  like crazy things that are going on in
[64:01.28]  the AI wars, a surprising percentage of
[64:03.84]  the motivation of leadership is like we
[64:05.92]  want to keep our employees happy.
[64:08.40]  So be an be an unhappy employee who
[64:11.04]  wants to know what's our mission. Is it
[64:12.64]  the real is it the real thing? So, of
[64:14.40]  course, that's not the only thing you
[64:15.44]  can do, but that is the beginning, the
[64:16.96]  easiest one on the integrity side. And
[64:19.44]  again, a company that hasn't done it is
[64:21.36]  very much at risk of eventually being
[64:23.84]  betrayed.
[64:24.48]  >> Are there any downsides to filing this
[64:26.48]  charter?
[64:27.04]  >> No, this is the one thing that has no
[64:28.64]  tra tr truly no trade-offs at all.
[64:30.96]  >> Okay. Okay. Um, I mean, maybe you'll
[64:33.12]  meet an investor who's like suspicious
[64:34.72]  about or doesn't like it. But again, the
[64:37.28]  only situation this would ever become
[64:39.04]  relevant is if the investor is trying to
[64:40.56]  force you to sell the company and you
[64:42.00]  don't want to. So like you could just
[64:44.48]  tell them, are you telling me that in
[64:46.00]  that situation you believe you should
[64:47.84]  get to decide instead of me? Just can is
[64:50.96]  that what you're saying? And then you
[64:52.08]  can ask yourself, is this really the
[64:53.20]  right partner for you? Someone who would
[64:54.64]  say yes to that. Like what are we doing
[64:56.08]  here? All these VCs are like, I'm
[64:58.16]  founder friendly. I believe in your
[64:59.68]  vision. Do you do you or like what is
[65:01.92]  what's going on here? So that's really
[65:03.12]  important. Uh the other downside the
[65:06.00]  main downside of almost every technique
[65:07.60]  in this book is that people will waste
[65:09.04]  your time trying to talk you out of it.
[65:10.80]  Okay, that's really like you have to be
[65:12.40]  ready for that. The book actually has a
[65:13.76]  whole section called how to talk to your
[65:15.04]  investors and a whole separate section
[65:16.24]  about how to talk to your lawyers. Like
[65:17.92]  detailed exactly what to say, what are
[65:20.08]  the questions you're likely to get
[65:21.12]  because in the years I've been I work in
[65:22.48]  the book for years. I have been writing
[65:24.56]  down all the objections I've heard from
[65:26.40]  all the companies I've helped. I always
[65:28.24]  tell me if someone objects please call
[65:29.60]  me and tell me what they said. I just
[65:30.64]  wrote them all down so I all the answers
